"Type","Sao","Cung","Chi","Text"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Thân","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Dậu","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Tuất","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Hợi","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phúc Đức","Tý","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Sửu","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Dần","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Mão","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Thìn","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Tỵ","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Ngọ","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Mùi","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Thân","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Dậu","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Tuất","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Phúc Đức","Hợi","Thiên Giải tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Giải","Điền Trạch","Tý","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Sửu","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Dần","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Mão","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Thìn","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Tỵ","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Ngọ","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Mùi","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Thân","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Dậu","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Tuất","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Điền Trạch","Hợi","Thiên Giải tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Giải","Quan Lộc","Tý","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Sửu","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Dần","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Mão","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Thìn","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Tỵ","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Ngọ","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Mùi","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Thân","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Dậu","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Tuất","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Quan Lộc","Hợi","Thiên Giải tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Tý","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Sửu","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Dần","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Mão","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Thìn","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Tỵ","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Ngọ","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Mùi","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Thân","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Dậu","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Tuất","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Nô Bộc","Hợi","Thiên Giải tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Giải","Thiên Di","Tý","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Sửu","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Dần","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Mão","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Thìn","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Tỵ","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Ngọ","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Mùi","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Thân","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Dậu","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Tuất","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Thiên Di","Hợi","Thiên Giải tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Giải","Tật Ách","Tý","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Sửu","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Dần","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Mão","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Thìn","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Tỵ","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Ngọ","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Mùi","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Thân","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Dậu","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Tuất","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tật Ách","Hợi","Thiên Giải tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Giải","Tài Bạch","Tý","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Sửu","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Dần","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Mão","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Thìn","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Tỵ","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Ngọ","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Mùi","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Thân","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Dậu","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Tuất","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tài Bạch","Hợi","Thiên Giải tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Giải","Tử Tức","Tý","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Sửu","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Dần","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Mão","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Thìn","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Tỵ","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Ngọ","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Mùi","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Thân","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Dậu","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Tuất","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Tử Tức","Hợi","Thiên Giải tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Giải","Phu Thê","Tý","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Sửu","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Dần","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Mão","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Thìn","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Tỵ","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Ngọ","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Mùi","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Thân","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Dậu","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Tuất","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Phu Thê","Hợi","Thiên Giải tọa thủ tại Phu Thê"
"Phụ tinh","Thiên Giải","Huynh Đệ","Tý","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Sửu","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Dần","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Mão","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Thìn","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Tỵ","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Ngọ","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Mùi","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Thân","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Dậu","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Tuất","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Giải","Huynh Đệ","Hợi","Thiên Giải tọa thủ tại Huynh Đệ"
"Phụ tinh","Thiên Mã","Mệnh","Tý","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Sửu","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Dần","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Mão","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Thìn","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Tỵ","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Ngọ","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Mùi","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Thân","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Dậu","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Tuất","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Mệnh","Hợi","Thiên Mã tọa thủ tại Mệnh"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Tý","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Sửu","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Dần","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Mão","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Thìn","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Tỵ","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Ngọ","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Mùi","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Thân","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Dậu","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Tuất","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phụ Mẫu","Hợi","Thiên Mã tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Mã","Phúc Đức","Tý","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Sửu","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Dần","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Mão","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Thìn","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Tỵ","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Ngọ","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Mùi","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Thân","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Dậu","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Tuất","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Phúc Đức","Hợi","Thiên Mã tọa thủ tại Phúc Đức"
"Phụ tinh","Thiên Mã","Điền Trạch","Tý","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Sửu","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Dần","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Mão","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Thìn","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Tỵ","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Ngọ","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Mùi","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Thân","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Dậu","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Tuất","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Điền Trạch","Hợi","Thiên Mã tọa thủ tại Điền Trạch"
"Phụ tinh","Thiên Mã","Quan Lộc","Tý","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Sửu","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Dần","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Mão","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Thìn","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Tỵ","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Ngọ","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Mùi","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Thân","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Dậu","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Tuất","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Quan Lộc","Hợi","Thiên Mã tọa thủ tại Quan Lộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Tý","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Sửu","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Dần","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Mão","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Thìn","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Tỵ","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Ngọ","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Mùi","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Thân","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Dậu","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Tuất","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Nô Bộc","Hợi","Thiên Mã tọa thủ tại Nô Bộc"
"Phụ tinh","Thiên Mã","Thiên Di","Tý","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Sửu","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Dần","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Mão","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Thìn","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Tỵ","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Ngọ","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Mùi","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Thân","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Dậu","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Tuất","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Thiên Di","Hợi","Thiên Mã tọa thủ tại Thiên Di"
"Phụ tinh","Thiên Mã","Tật Ách","Tý","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Sửu","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Dần","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Mão","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Thìn","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Tỵ","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Ngọ","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Mùi","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Thân","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Dậu","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Tuất","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tật Ách","Hợi","Thiên Mã tọa thủ tại Tật Ách"
"Phụ tinh","Thiên Mã","Tài Bạch","Tý","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Sửu","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Dần","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Mão","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Thìn","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Tỵ","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Ngọ","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Mùi","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Thân","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Dậu","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Tuất","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tài Bạch","Hợi","Thiên Mã tọa thủ tại Tài Bạch"
"Phụ tinh","Thiên Mã","Tử Tức","Tý","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Sửu","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Dần","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Mão","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Thìn","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Tỵ","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Ngọ","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Mùi","Thiên Mã tọa thủ tại Tử Tức"
"Phụ tinh","Thiên Mã","Tử Tức","Thân","Thiên Mã tọa thủ tại Tử Tức"
